time,layout,data
2025/02/13 19:04:31.279956833,"{'dim': [], 'data_offset': 0}","[1731, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1]"
2025/02/13 19:04:31.300026476,"{'dim': [], 'data_offset': 0}","[1708, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1]"
2025/02/13 19:04:31.363165417,"{'dim': [], 'data_offset': 0}","[1714, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1]"
2025/02/13 19:04:31.426364264,"{'dim': [], 'data_offset': 0}","[1755, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1]"
2025/02/13 19:04:31.451850430,"{'dim': [], 'data_offset': 0}","[1827, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1]"
2025/02/13 19:04:31.495964319,"{'dim': [], 'data_offset': 0}","[1917, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1]"
2025/02/13 19:04:31.551138063,"{'dim': [], 'data_offset': 0}","[2021, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
2025/02/13 19:04:31.597819133,"{'dim': [], 'data_offset': 0}","[2127, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
2025/02/13 19:04:31.656932477,"{'dim': [], 'data_offset': 0}","[2224, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1]"
2025/02/13 19:04:31.701003756,"{'dim': [], 'data_offset': 0}","[2293, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1]"
2025/02/13 19:04:31.754150335,"{'dim': [], 'data_offset': 0}","[2341, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1]"
2025/02/13 19:04:31.804089059,"{'dim': [], 'data_offset': 0}","[2357, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1]"
2025/02/13 19:04:31.853704289,"{'dim': [], 'data_offset': 0}","[2351, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1]"
2025/02/13 19:04:31.903628377,"{'dim': [], 'data_offset': 0}","[2308, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1]"
2025/02/13 19:04:31.956030987,"{'dim': [], 'data_offset': 0}","[2235, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1]"
2025/02/13 19:04:32.9747784,"{'dim': [], 'data_offset': 0}","[2139, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1]"
2025/02/13 19:04:32.54003120,"{'dim': [], 'data_offset': 0}","[2035, 0, 0, 0, 0, 0, 0, 0, -1, -1, -1, -1, -1, -1, -1, -1, 1, 1, 1, 1, 1, 1, 1, 1]"
2025/02/13 19:04:32.114947583,"{'dim': [], 'data_offset': 0}","[1929, 0, 0, 0, 0, 0, 0, 0, -1, -1, -1, -1, -1, -1, -1, -1, 1, 1, 1, 1, 1, 1, 1, 1]"
2025/02/13 19:04:32.154971419,"{'dim': [], 'data_offset': 0}","[1839, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1]"
2025/02/13 19:04:32.207475911,"{'dim': [], 'data_offset': 0}","[1766, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1]"
2025/02/13 19:04:32.256169341,"{'dim': [], 'data_offset': 0}","[1722, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1]"
2025/02/13 19:04:32.306561847,"{'dim': [], 'data_offset': 0}","[1707, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1]"
2025/02/13 19:04:32.357114429,"{'dim': [], 'data_offset': 0}","[1720, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1]"
2025/02/13 19:04:32.408961716,"{'dim': [], 'data_offset': 0}","[1767, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1]"
2025/02/13 19:04:32.460225070,"{'dim': [], 'data_offset': 0}","[1846, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1]"
2025/02/13 19:04:32.511380075,"{'dim': [], 'data_offset': 0}","[1943, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1]"
2025/02/13 19:04:32.561353004,"{'dim': [], 'data_offset': 0}","[2047, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
2025/02/13 19:04:32.609727239,"{'dim': [], 'data_offset': 0}","[2149, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
2025/02/13 19:04:32.646367018,"{'dim': [], 'data_offset': 0}","[2149, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
2025/02/13 19:04:32.698656558,"{'dim': [], 'data_offset': 0}","[2256, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1]"
2025/02/13 19:04:32.746487925,"{'dim': [], 'data_offset': 0}","[2317, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1]"
2025/02/13 19:04:32.798851065,"{'dim': [], 'data_offset': 0}","[2355, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1]"
2025/02/13 19:04:32.846132801,"{'dim': [], 'data_offset': 0}","[2360, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1]"
2025/02/13 19:04:32.902364283,"{'dim': [], 'data_offset': 0}","[2338, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1]"
2025/02/13 19:04:32.946323290,"{'dim': [], 'data_offset': 0}","[2277, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1]"
2025/02/13 19:04:32.998219137,"{'dim': [], 'data_offset': 0}","[2190, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1]"
2025/02/13 19:04:33.47302471,"{'dim': [], 'data_offset': 0}","[2087, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1]"
2025/02/13 19:04:33.97417452,"{'dim': [], 'data_offset': 0}","[1975, 0, 0, 0, 0, 0, 0, 0, -1, -1, -1, -1, -1, -1, -1, -1, 1, 1, 1, 1, 1, 1, 1, 1]"
2025/02/13 19:04:33.149936036,"{'dim': [], 'data_offset': 0}","[1879, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1]"
2025/02/13 19:04:33.197489998,"{'dim': [], 'data_offset': 0}","[1797, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1]"
2025/02/13 19:04:33.249510873,"{'dim': [], 'data_offset': 0}","[1738, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1]"
2025/02/13 19:04:33.301875937,"{'dim': [], 'data_offset': 0}","[1708, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1]"
2025/02/13 19:04:33.350227678,"{'dim': [], 'data_offset': 0}","[1708, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1]"
2025/02/13 19:04:33.397467276,"{'dim': [], 'data_offset': 0}","[1738, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1]"
2025/02/13 19:04:33.446847877,"{'dim': [], 'data_offset': 0}","[1803, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1]"
2025/02/13 19:04:33.498798471,"{'dim': [], 'data_offset': 0}","[1892, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1]"
2025/02/13 19:04:33.546471612,"{'dim': [], 'data_offset': 0}","[1991, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
2025/02/13 19:04:33.598561229,"{'dim': [], 'data_offset': 0}","[2100, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
2025/02/13 19:04:33.646828669,"{'dim': [], 'data_offset': 0}","[2195, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
2025/02/13 19:04:33.696854046,"{'dim': [], 'data_offset': 0}","[2277, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1]"
2025/02/13 19:04:33.746645755,"{'dim': [], 'data_offset': 0}","[2331, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1]"
2025/02/13 19:04:33.799306809,"{'dim': [], 'data_offset': 0}","[2360, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1]"
2025/02/13 19:04:33.849135426,"{'dim': [], 'data_offset': 0}","[2359, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1]"
2025/02/13 19:04:33.898639928,"{'dim': [], 'data_offset': 0}","[2325, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1]"
2025/02/13 19:04:33.947152232,"{'dim': [], 'data_offset': 0}","[2258, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1]"
2025/02/13 19:04:34.8800043,"{'dim': [], 'data_offset': 0}","[2167, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1]"
2025/02/13 19:04:34.48249923,"{'dim': [], 'data_offset': 0}","[2058, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1]"
2025/02/13 19:04:34.96364724,"{'dim': [], 'data_offset': 0}","[1946, 0, 0, 0, 0, 0, 0, 0, -1, -1, -1, -1, -1, -1, -1, -1, 1, 1, 1, 1, 1, 1, 1, 1]"
2025/02/13 19:04:34.149743886,"{'dim': [], 'data_offset': 0}","[1849, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1]"
2025/02/13 19:04:34.332151379,"{'dim': [], 'data_offset': 0}","[1772, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1]"
2025/02/13 19:04:34.332506876,"{'dim': [], 'data_offset': 0}","[1719, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1]"
2025/02/13 19:04:34.332722474,"{'dim': [], 'data_offset': 0}","[1697, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1]"
2025/02/13 19:04:34.353198251,"{'dim': [], 'data_offset': 0}","[1703, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1]"
2025/02/13 19:04:34.399847813,"{'dim': [], 'data_offset': 0}","[1745, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1]"
2025/02/13 19:04:34.447193178,"{'dim': [], 'data_offset': 0}","[1817, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1]"
